"","X1","probs","quinteto","Year","Player","Pos"
"194",125,0.0270468010697246,0,2015,"Bryce Cotton","PG"
"195",21,0.0264944391657855,0,2015,"Ryan Anderson","PF"
"196",282,0.0261659441538524,0,2015,"Ersan Ilyasova","PF"
"197",508,0.026101574409167,0,2015,"Rajon Rondo","PG"
"198",531,0.0257679791978237,0,2015,"Alexey Shved","SG"
"199",334,0.0255792490234618,0,2015,"Ognjen Kuzmic","C"
"200",289,0.0254971184928126,0,2015,"Bernard James","C"
"201",629,0.0254927639028428,0,2015,"Mo Williams","PG"
"202",456,0.0247542996087462,0,2015,"Kendrick Perkins","C"
"203",414,0.0247477239116496,0,2015,"Shabazz Muhammad","SG"
"204",429,0.0245051764932558,0,2015,"Nerlens Noel","C"
"205",441,0.0243086643583644,0,2015,"Zaza Pachulia","C"
"206",343,0.0242418191510565,0,2015,"Ricky Ledo","SG"
"207",114,0.0240453786139657,0,2015,"Ian Clark","SG"
"208",301,0.0239813602613074,0,2015,"Grant Jerrett","PF"
"209",561,0.0234456321274566,0,2015,"Amar'e Stoudemire","PF"
"210",651,0.0232361506046059,0,2015,"Tyler Zeller","C"
"211",241,0.0231119292023835,0,2015,"Jorge Gutierrez","PG"
"212",382,0.0225907190911893,0,2015,"JaVale McGee","C"
"213",405,0.022305051037521,0,2015,"Eric Moreland","PF"
"214",381,0.0221945608137302,0,2015,"JaVale McGee","C"
"215",163,0.021779654152335,0,2015,"Toney Douglas","SG"
"216",170,0.0217776801086939,0,2015,"Zoran Dragic","SG"
"217",92,0.0213898957436696,0,2015,"Bruno Caboclo","SF"
"218",223,0.0212164016192906,0,2015,"Drew Gordon","PF"
"219",638,0.0210540619512711,0,2015,"Nate Wolters","PG"
"220",54,0.0206126852585661,0,2015,"Patrick Beverley","PG"
"221",544,0.0199040981152352,0,2015,"J.R. Smith","SG"
"222",486,0.0194711647867061,0,2015,"Shavlik Randolph","PF"
"223",579,0.0192028079212601,0,2015,"Tyrus Thomas","PF"
"224",119,0.0190617710577712,0,2015,"Norris Cole","PG"
"225",234,0.0187929481869342,0,2015,"JaMychal Green","PF"
"226",73,0.0187561154145803,0,2015,"Corey Brewer","SF"
"227",412,0.0185862299021457,0,2015,"Timofey Mozgov","C"
