"","probs","quinteto","Year","Player"
"90",0.268435122700976,0,2015,"Dwight Buycks"
"586",0.264797240860964,0,2015,"Marcus Thornton"
"388",0.261741790243314,0,2015,"Khris Middleton"
"61",0.260103067547397,0,2015,"Steve Blake"
"26",0.258989860832701,0,2015,"Trevor Ariza"
"568",0.25417963990688,0,2015,"Mirza Teletovic"
"22",0.254083860802564,0,2015,"Giannis Antetokounmpo"
"336",0.25361812020527,0,2015,"Carl Landry"
"642",0.249639449697154,0,2015,"Brandan Wright"
"592",0.249387051030148,0,2015,"Hedo Turkoglu"
"524",0.249367924991368,0,2015,"Ramon Sessions"
"484",0.249169256616812,0,2015,"Shavlik Randolph"
"111",0.247284813370808,0,2015,"Earl Clark"
"12",0.246888767863681,0,2015,"Lavoy Allen"
"119",0.246263309315008,0,2015,"Norris Cole"
"647",0.245325486318136,0,2015,"Thaddeus Young"
"161",0.245088473997922,0,2015,"Spencer Dinwiddie"
"381",0.244875036329927,0,2015,"JaVale McGee"
"175",0.244000122108764,0,2015,"Mike Dunleavy"
"386",0.242763345340414,0,2015,"Jodie Meeks"
"47",0.242389229892467,0,2015,"Aron Baynes"
"16",0.240049601615563,0,2015,"Lou Amundson"
"222",0.2392000644995,0,2015,"Ben Gordon"
"98",0.238718139644336,0,2015,"Isaiah Canaan"
"105",0.235869250739291,0,2015,"Omri Casspi"
"51",0.234313356230593,0,2015,"Marco Belinelli"
"456",0.232497240385611,0,2015,"Kendrick Perkins"
"533",0.229573789727691,0,2015,"Henry Sims"
"469",0.22914525672453,0,2015,"Phil Pressey"
"50",0.228751025405114,0,2015,"Michael Beasley"
"380",0.225599020828596,0,2015,"JaVale McGee"
"641",0.225531322845866,0,2015,"Brandan Wright"
"32",0.22360951448966,0,2015,"Jeff Ayres"
"41",0.22316718148919,0,2015,"Will Barton"
"153",0.222408690770707,0,2015,"Austin Daye"
"624",0.221055531787027,0,2015,"Elliot Williams"
"144",0.219491965930724,0,2015,"Luigi Datome"
"205",0.215766289462944,0,2015,"Francisco Garcia"
"648",0.215161655119173,0,2015,"Thaddeus Young"
"313",0.214005454566507,0,2015,"James Jones"
"195",0.213209911236526,0,2015,"Randy Foye"
"152",0.21142062036191,0,2015,"Austin Daye"
"86",0.208581598679844,0,2015,"Alec Burks"
"293",0.208462756700266,0,2015,"Richard Jefferson"
"188",0.205766743750116,0,2015,"Festus Ezeli"
"93",0.205528007075424,0,2015,"Nick Calathes"
"317",0.203988215204342,0,2015,"Jerome Jordan"
"196",0.203648948947118,0,2015,"Jamaal Franklin"
"635",0.203247253468169,0,2015,"Jeff Withey"
"545",0.20222893031355,0,2015,"J.R. Smith"
"531",0.201625216242001,0,2015,"Alexey Shved"
